693nm,691nm,527nm,525nm,340nm,530nm,523nm,532nm,695nm,520nm,534nm,696nm,625nm,623nm,627nm,685nm,629nm,621nm,631nm,537nm,634nm,619nm,800nm,689nm,794nm,821nm,636nm,518nm,795nm,806nm,809nm,812nm,617nm,638nm,801nm,414nm,798nm,584nm,539nm,687nm,582nm,580nm,354nm,827nm,417nm,698nm,578nm,348nm,587nm,640nm,L*,a*,b*,Date
0.00078573,0.004058669,0.604854703,0.59356153,0.002748226,0.620425344,0.586097002,0.63741529,0.000144051,0.58917129,0.654233217,9.52e-05,0.929380774,0.937999487,0.920111179,0.057588883,0.908411622,0.945560694,0.894875228,0.669275045,0.878940344,0.94765836,0.000165451,0.021091171,0.000163818,0.000156873,0.861536741,0.600807548,0.000161931,0.000165859,0.00015892,0.000162872,0.945839405,0.842885613,0.000167538,0.007125684,0.00016771,0.856363058,0.682035983,0.038864553,0.849477291,0.842858732,9.46e-05,0.000160237,0.020780131,7.02e-05,0.836483359,0.00015206,0.86285466,0.822352171,82.4,-5.36,64.01,Day1
0.000898075,0.004435213,0.605120897,0.593979597,0.00311186,0.620586395,0.586742938,0.637517571,0.000172075,0.590111852,0.654281735,0.000115014,0.927699268,0.936431229,0.91831392,0.058031604,0.906508923,0.944106042,0.892867267,0.669261694,0.87684083,0.946252763,0.000198999,0.021858407,0.000197147,0.000189132,0.859372735,0.602090001,0.000195012,0.000199605,0.000191389,0.000196091,0.944431543,0.840679586,0.000201581,0.007894479,0.000201634,0.855465353,0.681956828,0.039514598,0.848608017,0.842014194,0.000115253,0.000192971,0.02240696,8.54e-05,0.835661232,0.000183506,0.861923099,0.820123255,79.61,-4.68,61.28,Day1
0.000927913,0.004532653,0.605893135,0.594765306,0.003205137,0.621345043,0.587555766,0.638268828,0.000179639,0.590972662,0.655025244,0.000120417,0.927375734,0.936134934,0.91796267,0.058122095,0.906131208,0.94383657,0.892462611,0.669994235,0.87641114,0.945998609,0.000208009,0.022042289,0.000206109,0.00019782,0.85892266,0.603006244,0.000203908,0.000208675,0.000200123,0.000205033,0.944184601,0.840213418,0.000210732,0.008081199,0.000210755,0.855604291,0.682677865,0.03965994,0.848777652,0.842214644,0.00012086,0.000201781,0.022793544,8.96e-05,0.835890949,0.000191989,0.862031221,0.819644749,80.33,-4.69,60.84,Day1
0.000933446,0.004547307,0.611617386,0.600325048,0.003206353,0.627143681,0.592913091,0.644101858,0.000180615,0.59616673,0.660878897,0.000121254,0.927623808,0.936417699,0.918174028,0.057916138,0.906295061,0.944148958,0.892570853,0.675855815,0.876450777,0.946351469,0.000208667,0.021983299,0.000206822,0.000198537,0.858884096,0.608005285,0.000204575,0.000209342,0.000200809,0.000205771,0.944596529,0.840089321,0.000211414,0.008026116,0.000211506,0.858048081,0.68855226,0.039513782,0.851418674,0.845060587,0.000121437,0.000202496,0.022666881,9.03e-05,0.838937998,0.000192739,0.864288747,0.819430888,85.77,-6.33,62.36,Day1
0.000788988,0.004073537,0.602633834,0.591402709,0.002761388,0.618179083,0.584018052,0.635161042,0.000144877,0.58715862,0.651977301,9.57e-05,0.929463506,0.938054144,0.920224011,0.057737213,0.908559263,0.945589721,0.895063102,0.667022467,0.87917459,0.947666407,0.000166523,0.021167329,0.000164865,0.000157884,0.861819386,0.598875165,0.000162984,0.000166943,0.000159945,0.000163923,0.945826292,0.843219221,0.000168633,0.007170671,0.000168769,0.85561353,0.67978543,0.038982969,0.848648012,0.841945887,9.52e-05,0.000161267,0.020879518,7.06e-05,0.835486531,0.000153035,0.862179935,0.822737932,83.65,-4.51,63.4,Day1
0.001171128,0.005287074,0.615893543,0.604733109,0.003940575,0.631303549,0.597552896,0.648195148,0.000243627,0.601171851,0.66490531,0.000166849,0.925205946,0.934192181,0.915560305,0.058573347,0.903497815,0.942114294,0.889587998,0.679794967,0.873298824,0.944421887,0.000284125,0.023310928,0.000281935,0.000271502,0.855599642,0.613429308,0.000279167,0.000285339,0.00027406,0.000280753,0.942709684,0.836704135,0.000288072,0.009462395,0.000287878,0.85847187,0.692401528,0.040556338,0.852017462,0.845832527,0.000169057,0.000276386,0.025569657,0.000125757,0.839874744,0.000264057,0.864535153,0.815973163,88.65,-5.99,58.71,Day1
0.002334207,0.008354751,0.625232518,0.614591241,0.007402369,0.640227675,0.60825491,0.656879425,0.000606884,0.613089561,0.673358083,0.000441427,0.91684562,0.926426828,0.906595409,0.060713645,0.893992841,0.934949338,0.879545152,0.687963247,0.862787843,0.937585771,0.000729818,0.027900172,0.000726604,0.000706437,0.84475112,0.626731992,0.00072187,0.000735212,0.000708859,0.000725398,0.935995579,0.825625122,0.0007415,0.015719712,0.00073837,0.857944727,0.7002756,0.043978911,0.851904511,0.846122622,0.000464311,0.000714979,0.03704448,0.000345275,0.840545416,0.000690789,0.86357832,0.80475688,90.38,-3.68,45.71,Day1
0.001470125,0.006158608,0.611414552,0.600637913,0.004879363,0.626599669,0.594006836,0.643381596,0.000329951,0.598257661,0.660004318,0.000230152,0.922386527,0.931500971,0.912612915,0.059631806,0.900455892,0.939559042,0.886464357,0.674803913,0.870132804,0.941906631,0.000389846,0.024898872,0.000387127,0.000373949,0.852443099,0.611255646,0.000383859,0.000391927,0.000376797,0.000385805,0.940147996,0.833600402,0.000395534,0.011343659,0.000394588,0.855256855,0.687309563,0.041937932,0.848679066,0.842356145,0.00023678,0.000379964,0.029216679,0.000175516,0.836256385,0.000364237,0.861423731,0.81295675,85.66,-2.9,52.3,Day1
0.001902487,0.007294524,0.620215952,0.609493136,0.006158036,0.63530004,0.602997899,0.652006865,0.000463642,0.607554615,0.668543339,0.000331167,0.919077635,0.9284814,0.909007192,0.060132209,0.896567762,0.936825812,0.882283568,0.683225632,0.865672827,0.939349949,0.000553251,0.026484638,0.000550213,0.000533397,0.847749174,0.620887518,0.000546131,0.00055681,0.000536211,0.000548826,0.937693417,0.828708172,0.000561721,0.013599958,0.00055988,0.856952131,0.695614755,0.042989094,0.850716472,0.844739914,0.00034493,0.000540782,0.033341847,0.000256186,0.838977218,0.000520686,0.862781763,0.807899654,85.38,-4.01,49.01,Day1
0.001704493,0.006779986,0.623390079,0.612443805,0.005542884,0.638602912,0.605636477,0.655374467,0.000399902,0.609844506,0.671962976,0.000283119,0.920874059,0.930199862,0.910882413,0.059624001,0.898500144,0.938460827,0.884266973,0.686697245,0.867684245,0.940961242,0.000473739,0.02565852,0.000470993,0.000455942,0.849756956,0.622768998,0.000467171,0.000476566,0.000458722,0.000469685,0.939335883,0.830687821,0.000480873,0.012418305,0.000479698,0.859203935,0.699145555,0.042301457,0.85305506,0.847173214,0.000292461,0.000462674,0.031186072,0.000217765,0.841504991,0.00044479,0.864958227,0.809831977,91.5,-5.52,52.46,Day1
